👋🏾|waving-hand-medium-dark-skin-tone|👋|waving-hand|true|1
👋🏿|waving-hand-dark-skin-tone|👋|waving-hand|true|1
🤙|call-me-hand|🤙|call-me-hand|true|1
🤙🏻|call-me-hand-light-skin-tone|🤙|call-me-hand|true|1
🤙🏼|call-me-hand-medium-light-skin-tone|🤙|call-me-hand|true|1
🤙🏽|call-me-hand-medium-skin-tone|🤙|call-me-hand|true|1
🤙🏾|call-me-hand-medium-dark-skin-tone|🤙|call-me-hand|true|1
🤙🏿|call-me-hand-dark-skin-tone|🤙|call-me-hand|true|1
💪|flexed-biceps|💪|flexed-biceps|true|1
💪🏻|flexed-biceps-light-skin-tone|💪|flexed-biceps|true|1
💪🏼|flexed-biceps-medium-light-skin-tone|💪|flexed-biceps|true|1
💪🏽|flexed-biceps-medium-skin-tone|💪|flexed-biceps|true|1
💪🏾|flexed-biceps-medium-dark-skin-tone|💪|flexed-biceps|true|1
💪🏿|flexed-biceps-dark-skin-tone|💪|flexed-biceps|true|1
🦾|mechanical-arm|🦾|mechanical-arm|false|1
🖕|middle-finger|🖕|middle-finger|true|1
🖕🏻|middle-finger-light-skin-tone|🖕|middle-finger|true|1
🖕🏼|middle-finger-medium-light-skin-tone|🖕|middle-finger|true|1
🖕🏽|middle-finger-medium-skin-tone|🖕|middle-finger|true|1
🖕🏾|middle-finger-medium-dark-skin-tone|🖕|middle-finger|true|1
🖕🏿|middle-finger-dark-skin-tone|🖕|middle-finger|true|1
✍|writing-hand|✍|writing-hand|true|1
✍🏻|writing-hand-light-skin-tone|✍|writing-hand|true|1
✍🏼|writing-hand-medium-light-skin-tone|✍|writing-hand|true|1
✍🏽|writing-hand-medium-skin-tone|✍|writing-hand|true|1
✍🏾|writing-hand-medium-dark-skin-tone|✍|writing-hand|true|1
✍🏿|writing-hand-dark-skin-tone|✍|writing-hand|true|1
🙏|folded-hands|🙏|folded-hands|true|1
🙏🏻|folded-hands-light-skin-tone|🙏|folded-hands|true|1
🙏🏼|folded-hands-medium-light-skin-tone|🙏|folded-hands|true|1
🙏🏽|folded-hands-medium-skin-tone|🙏|folded-hands|true|1
🙏🏾|folded-hands-medium-dark-skin-tone|🙏|folded-hands|true|1
🙏🏿|folded-hands-dark-skin-tone|🙏|folded-hands|true|1
🦶|foot|🦶|foot|true|1
🦶🏻|foot-light-skin-tone|🦶|foot|true|1
🦶🏼|foot-medium-light-skin-tone|🦶|foot|true|1
🦶🏽|foot-medium-skin-tone|🦶|foot|true|1
🦶🏾|foot-medium-dark-skin-tone|🦶|foot|true|1
🦶🏿|foot-dark-skin-tone|🦶|foot|true|1
🦵|leg|🦵|leg|true|1
🦵🏻|leg-light-skin-tone|🦵|leg|true|1
🦵🏼|leg-medium-light-skin-tone|🦵|leg|true|1
🦵🏽|leg-medium-skin-tone|🦵|leg|true|1
🦵🏾|leg-medium-dark-skin-tone|🦵|leg|true|1
🦵🏿|leg-dark-skin-tone|🦵|leg|true|1
🦿|mechanical-leg|🦿|mechanical-leg|false|1
💄|lipstick|💄|lipstick|false|1
💋|kiss-mark|💋|kiss-mark|false|1
👄|mouth|👄|mouth|false|1
🦷|tooth|🦷|tooth|false|1
👅|tongue|👅|tongue|false|1
👂|ear|👂|ear|true|1
👂🏻|ear-light-skin-tone|👂|ear|true|1
👂🏼|ear-medium-light-skin-tone|👂|ear|true|1
👂🏽|ear-medium-skin-tone|👂|ear|true|1
👂🏾|ear-medium-dark-skin-tone|👂|ear|true|1
👂🏿|ear-dark-skin-tone|👂|ear|true|1
🦻|ear-with-hearing-aid|🦻|ear-with-hearing-aid|true|1
🦻🏻|ear-with-hearing-aid-light-skin-tone|🦻|ear-with-hearing-aid|true|1
🦻🏼|ear-with-hearing-aid-medium-light-skin-tone|🦻|ear-with-hearing-aid|true|1
🦻🏽|ear-with-hearing-aid-medium-skin-tone|🦻|ear-with-hearing-aid|true|1
🦻🏾|ear-with-hearing-aid-medium-dark-skin-tone|🦻|ear-with-hearing-aid|true|1
🦻🏿|ear-with-hearing-aid-dark-skin-tone|🦻|ear-with-hearing-aid|true|1
👃|nose|👃|nose|true|1
👃🏻|nose-light-skin-tone|👃|nose|true|1
👃🏼|nose-medium-light-skin-tone|👃|nose|true|1
👃🏽|nose-medium-skin-tone|👃|nose|true|1
👃🏾|nose-medium-dark-skin-tone|👃|nose|true|1
👃🏿|nose-dark-skin-tone|👃|nose|true|1
👣|footprints|👣|footprints|false|1
👁|eye|👁|eye|false|1
👀|eyes|👀|eyes|false|1
🫀|anatomical-heart|🫀|anatomical-heart|false|1
🫁|lungs|🫁|lungs|false|1
🧠|brain|🧠|brain|false|1
🗣|speaking-head|🗣|speaking-head|false|1
👤|bust-in-silhouette|👤|bust-in-silhouette|false|1
👥|busts-in-silhouette|👥|busts-in-silhouette|false|1
🫂|people-hugging|🫂|people-hugging|false|1
👶|baby|👶|baby|true|1
👶🏻|baby-light-skin-tone|👶|baby|true|1
👶🏼|baby-medium-light-skin-tone|👶|baby|true|1
👶🏽|baby-medium-skin-tone|👶|baby|true|1
👶🏾|baby-medium-dark-skin-tone|👶|baby|true|1
👶🏿|baby-dark-skin-tone|👶|baby|true|1
👧|girl|👧|girl|true|1
👧🏻|girl-light-skin-tone|👧|girl|true|1
👧🏼|girl-medium-light-skin-tone|👧|girl|true|1
👧🏽|girl-medium-skin-tone|👧|girl|true|1
👧🏾|girl-medium-dark-skin-tone|👧|girl|true|1
👧🏿|girl-dark-skin-tone|👧|girl|true|1
🧒|child|🧒|child|true|1
🧒🏻|child-light-skin-tone|🧒|child|true|1
🧒🏼|child-medium-light-skin-tone|🧒|child|true|1
🧒🏽|child-medium-skin-tone|🧒|child|true|1
🧒🏾|child-medium-dark-skin-tone|🧒|child|true|1
🧒🏿|child-dark-skin-tone|🧒|child|true|1
👦|boy|👦|boy|true|1
👦🏻|boy-light-skin-tone|👦|boy|true|1
👦🏼|boy-medium-light-skin-tone|👦|boy|true|1
👦🏽|boy-medium-skin-tone|👦|boy|true|1
👦🏾|boy-medium-dark-skin-tone|👦|boy|true|1
👦🏿|boy-dark-skin-tone|👦|boy|true|1
👩|woman|👩|woman|true|1
👩🏻|woman-light-skin-tone|👩|woman|true|1
👩🏼|woman-medium-light-skin-tone|👩|woman|true|1
👩🏽|woman-medium-skin-tone|👩|woman|true|1
👩🏾|woman-medium-dark-skin-tone|👩|woman|true|1
👩🏿|woman-dark-skin-tone|👩|woman|true|1
🧑|person|🧑|person|true|1
🧑🏻|person-light-skin-tone|🧑|person|true|1
🧑🏼|person-medium-light-skin-tone|🧑|person|true|1
🧑🏽|person-medium-skin-tone|🧑|person|true|1
🧑🏾|person-medium-dark-skin-tone|🧑|person|true|1
🧑🏿|person-dark-skin-tone|🧑|person|true|1
👨|man|👨|man|true|1
👨🏻|man-light-skin-tone|👨|man|true|1
👨🏼|man-medium-light-skin-tone|👨|man|true|1
👨🏽|man-medium-skin-tone|👨|man|true|1
👨🏾|man-medium-dark-skin-tone|👨|man|true|1
👨🏿|man-dark-skin-tone|👨|man|true|1
👩‍🦱|woman-curly-hair|👩‍🦱|woman-curly-hair|false|1
👩🏻‍🦱|woman-light-skin-tone-curly-hair|👩‍🦱|woman-curly-hair|true|1
👩🏼‍🦱|woman-medium-light-skin-tone-curly-hair|👩‍🦱|woman-curly-hair|true|1
👩🏽‍🦱|woman-medium-skin-tone-curly-hair|👩‍🦱|woman-curly-hair|true|1
👩🏾‍🦱|woman-medium-dark-skin-tone-curly-hair|👩‍🦱|woman-curly-hair|true|1
👩🏿‍🦱|woman-dark-skin-tone-curly-hair|👩‍🦱|woman-curly-hair|true|1
🧑‍🦱|person-curly-hair|🧑‍🦱|person-curly-hair|false|1
🧑🏻‍🦱|person-light-skin-tone-curly-hair|🧑‍🦱|person-curly-hair|true|1
